Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10,Year_11,Year_12,Year_13,Year_14,Year_15,Year_16,Year_17,Year_18,Year_19,Year_20,Year_21,Year_22,grad,,
91.72415197,87.55592928,90.83376641,84.10638425,78.34516386,73.73355461,73.40713911,69.4249946,73.95852033,64.53982707,68.78109295,64.95524258,61.93972115,60.12464836,63.8543311,66.05016649,63.79587973,65.71376319,67.63215607,66.5946799,69.61449934,71.26348965,116.4,1577.949102,1836.732755
91.58031417,88.82267231,85.12874722,84.51298352,81.32344468,79.28315157,71.88678405,70.09627617,70.38706841,62.85304419,64.52950419,67.11245375,63.4959724,68.32824145,64.23867763,60.70421054,66.85557475,65.04278417,70.30870276,66.15142522,70.75400561,68.16151752,116.4,1581.557556,1840.932995
95.29768427,88.58239173,85.81224876,86.06354857,80.44945233,75.14378538,71.86970503,72.32332991,66.91155027,67.86190364,71.35053226,60.94764241,59.94463717,63.31431473,60.73395221,61.50916031,66.90308028,63.14124032,66.30870153,66.58326365,68.03908641,73.4687355,116.4,1572.559947,1830.459778
95.68874481,93.26440349,86.04904431,79.57346664,82.05119317,76.29627629,74.7927367,72.69664308,68.92478348,63.45493245,64.62881791,65.39936039,66.9643482,61.96066349,65.0872484,63.62318285,60.44374392,68.55432368,68.94329631,69.7801188,68.27015113,72.39414179,116.4,1588.841621,1849.411647
94.62053855,89.204424,91.44746222,84.22224228,83.51792918,73.81613406,75.04933111,71.35568258,69.0168039,65.54011455,71.27747136,64.89639959,65.79279193,64.36484497,60.29639922,64.85609247,66.2628306,66.20560368,61.02491306,68.60931302,68.873241,72.05383773,116.4,1592.304401,1853.442323
96.97008156,92.76805635,84.24669725,81.54213697,76.71228252,79.57657956,73.29933685,72.46996315,64.84285918,72.77875578,68.95418866,61.91982154,66.1250639,60.31365765,63.98240214,62.9546122,63.63118132,68.21900785,65.6540095,64.2051968,72.34276245,71.79026427,116.4,1585.298917,1845.28794
100.0184735,89.95676911,88.73103813,77.71739387,76.11632063,75.97354466,71.26213424,69.98915702,65.54303543,63.98529569,64.53407937,65.49524986,61.01339223,59.41079645,67.37269334,67.23573368,62.01733351,66.80064112,66.78171876,70.78514344,72.89536466,71.28848274,116.4,1574.923791,1833.211293
93.15005815,88.36940454,87.52647534,81.26066987,79.13090007,77.08690869,72.63638405,76.62513174,68.14559554,63.68017568,65.71508795,68.33342768,60.2538759,63.47026629,61.83713185,61.44139109,60.40770303,64.10556907,62.80770964,65.53838109,65.74911899,69.45223789,116.4,1556.723604,1812.026275
88.2357899,92.35746602,86.8127872,78.68944654,78.9349119,83.40954538,71.84612278,68.63695306,70.85389708,72.08682203,66.94893008,62.90989604,61.43083549,65.24775163,63.2786877,66.31164889,60.72365337,65.81621469,65.03780831,63.42086685,71.34205813,75.60466613,116.4,1579.936759,1839.046388
97.19569657,88.35851281,86.94979304,81.60758804,79.11031205,74.60568765,74.82820523,68.77075561,67.88897543,68.33760478,59.20865989,58.69038087,59.32770982,67.04614683,61.99082809,63.8362308,59.60888753,68.91805787,65.1012518,71.84394353,71.72615548,71.8367462,116.4,1566.78813,1823.741383
92.56036469,88.81597597,90.63352063,79.56308257,74.3346157,78.60895126,75.47376869,73.17138076,66.57153343,74.08300726,65.53374731,69.61750861,63.07112964,62.35565552,62.3570089,68.10634046,61.03932785,60.51938179,65.89904237,65.95820941,66.92742067,65.43115086,116.4,1570.632124,1828.215793
92.61764522,88.82310383,90.61555355,79.93212307,81.95071448,75.75373725,71.86277922,68.68889418,72.86430434,66.04175661,64.39384848,68.70718337,61.4744842,59.58095529,61.23436427,61.35386026,62.70213079,62.91373708,66.62082227,70.21234431,67.95450039,76.25304989,116.4,1572.551892,1830.450403
97.24930303,92.68879745,88.50339577,82.76252591,79.88060173,79.67414543,74.4832946,72.13515443,67.22837095,68.86228364,63.08658881,67.22435028,64.53204753,65.2309208,67.28309999,62.95106915,66.5636007,61.0128889,63.93725339,66.80486019,69.6810394,70.80574933,116.4,1592.581341,1853.764681
93.70755603,95.81360815,79.96948405,88.53194728,75.09115024,77.00699589,70.30677978,70.92070864,70.84993424,68.55660241,69.20135798,66.10047882,63.76266647,64.55832233,59.21741036,60.31576719,65.45589223,68.11757447,62.78390092,69.39156402,68.8334161,66.78645423,116.4,1575.279572,1833.625422
91.17777882,86.46385249,87.0401986,82.53156891,79.33975264,76.71010091,72.36357957,72.46586211,66.29577268,66.70647877,66.24757682,62.51439665,64.45573617,63.4753731,66.91140121,63.75786506,64.71505054,62.54046013,63.24703071,67.30897688,68.08889953,69.4223509,116.4,1563.780063,1820.239994
94.96732028,87.77244575,87.07523645,86.0422276,80.63069819,78.89665144,69.87306171,71.76653151,71.9790328,65.9367843,66.56170123,65.3646607,61.48034162,63.10678467,63.93458516,64.24037853,61.24374897,64.99451941,62.37135883,70.768095,61.71739757,69.42897401,116.4,1570.152536,1827.657552
