method,parameter,estimate,se,time,sim,true,pct_diff,beta0_true,beta1_true
secr_glm,sigma.(Intercept),4.114845218820071,0.08407941926004762,50.13999999999987,1,4.05,1.601116514075838,0.2241561879539187,0.137679776805453
secr_glm,sigma.x.s,-0.24764015047101204,0.06333540828149115,50.13999999999987,1,-0.23,7.669630639570446,0.2241561879539187,0.137679776805453
secr_glm,D.(Intercept),0.0709046840058398,0.09567086179054861,50.13999999999987,1,0.2241561879539187,-68.36817905717768,0.2241561879539187,0.137679776805453
secr_glm,D.x.s,0.07642318827567546,0.10076462695175811,50.13999999999987,1,0.137679776805453,-44.492074254547596,0.2241561879539187,0.137679776805453
secr_joint,D.(Intercept),1.1842979526110078,0.07752728179730232,90.59999999999991,1,1.1244681244283028,5.320722471623943,1.1244681244283028,0.549086358724162
secr_joint,D.x.s,0.4006829023019844,0.08108070308926375,90.59999999999991,1,0.549086358724162,-27.027343525161097,1.1244681244283028,0.549086358724162
secr_joint,g0,0.7755156994269725,0.5077161237116073,90.59999999999991,1,0.8,-3.060537571628441,1.1244681244283028,0.549086358724162
secr_joint,sigma.(Intercept),4.073369496677183,0.056221610833270444,90.59999999999991,1,4.05,0.5770246093131748,1.1244681244283028,0.549086358724162
secr_joint,sigma.x.s,-0.1779512910841242,0.03788990545477396,90.59999999999991,1,-0.23,-22.629873441685138,1.1244681244283028,0.549086358724162
secr_glm,g0,0.7764410957965374,0.509803274477828,37.92000000000007,1,0.8,-2.9448630254328285,1.1244681244283028,0.549086358724162
secr_glm,sigma.(Intercept),4.072219303755792,0.05615311889986966,37.92000000000007,1,4.05,0.5486247840936258,1.1244681244283028,0.549086358724162
secr_glm,sigma.x.s,-0.1785778823859655,0.03787178249390873,37.92000000000007,1,-0.23,-22.35744244088457,1.1244681244283028,0.549086358724162
secr_glm,D.(Intercept),1.1851013624222975,0.05659216496077106,37.92000000000007,1,1.1244681244283028,5.392170456127563,1.1244681244283028,0.549086358724162
secr_glm,D.x.s,0.40149008247519385,0.059896137985259876,37.92000000000007,1,0.549086358724162,-26.88033929524633,1.1244681244283028,0.549086358724162
secr_joint,D.(Intercept),0.4977762920090749,0.10755102679830945,91.57000000000016,1,0.6210309167997053,-19.84677758488833,0.6210309167997053,0.4310340720694512
secr_joint,D.x.s,0.6230109338657529,0.11583860379818427,91.57000000000016,1,0.4310340720694512,44.53867437314074,0.6210309167997053,0.4310340720694512
secr_joint,g0,0.8378693681850795,0.6872091473106313,91.57000000000016,1,0.8,4.733671023134933,0.6210309167997053,0.4310340720694512
secr_joint,sigma.(Intercept),4.131477995253184,0.06718893473270814,91.57000000000016,1,4.05,2.0118023519304775,0.6210309167997053,0.4310340720694512
secr_joint,sigma.x.s,-0.2917497685385139,0.057515407366235526,91.57000000000016,1,-0.23,26.847725451527786,0.6210309167997053,0.4310340720694512
secr_glm,g0,0.8380653214982942,0.6878315255087288,43.01000000000022,1,0.8,4.758165187286764,0.6210309167997053,0.4310340720694512
secr_glm,sigma.(Intercept),4.130431953185299,0.0670736786932155,43.01000000000022,1,4.05,1.9859741527234445,0.6210309167997053,0.4310340720694512
secr_glm,sigma.x.s,-0.29142465822756475,0.0573167193813622,43.01000000000022,1,-0.23,26.706373142419448,0.6210309167997053,0.4310340720694512
secr_glm,D.(Intercept),0.4990771899004174,0.07520960233109002,43.01000000000022,1,0.6210309167997053,-19.63730365111926,0.6210309167997053,0.4310340720694512
secr_glm,D.x.s,0.6225331078212673,0.07933378725172761,43.01000000000022,1,0.4310340720694512,44.42781862519685,0.6210309167997053,0.4310340720694512
secr_joint,D.(Intercept),0.7952247077655169,0.0936558294796936,80.01000000000022,1,0.8071624166026884,-1.4789723346407517,0.8071624166026884,0.37780040868092335
secr_joint,D.x.s,0.25569328592024104,0.0985753997767309,80.01000000000022,1,0.37780040868092335,-32.32053749942065,0.8071624166026884,0.37780040868092335
secr_joint,g0,0.7899813405169727,0.7044635950796491,80.01000000000022,1,0.8,-1.2523324353784226,0.8071624166026884,0.37780040868092335
secr_joint,sigma.(Intercept),4.040304912771771,0.07291512057211456,80.01000000000022,1,4.05,-0.23938486983281163,0.8071624166026884,0.37780040868092335
secr_joint,sigma.x.s,-0.1680996062393695,0.04508650691068118,80.01000000000022,1,-0.23,-26.913214678534995,0.8071624166026884,0.37780040868092335
secr_glm,g0,0.789554509297891,0.7031830832051826,38.11000000000058,1,0.8,-1.3056863377636367,0.8071624166026884,0.37780040868092335
secr_glm,sigma.(Intercept),4.040790511947196,0.07295095433242649,38.11000000000058,1,4.05,-0.22739476673589504,0.8071624166026884,0.37780040868092335
secr_glm,sigma.x.s,-0.16776445222916272,0.04506156187311074,38.11000000000058,1,-0.23,-27.058933813407513,0.8071624166026884,0.37780040868092335
secr_glm,D.(Intercept),0.7949160883216074,0.06952429942307937,38.11000000000058,1,0.8071624166026884,-1.5172074453893962,0.8071624166026884,0.37780040868092335
secr_glm,D.x.s,0.2552565421184313,0.07378278045398604,38.11000000000058,1,0.37780040868092335,-32.43613922768098,0.8071624166026884,0.37780040868092335
secr_joint,D.(Intercept),1.3414718585811103,0.07352080952255154,108.10999999999967,1,1.3118554063394898,2.257600349741299,1.3118554063394898,0.8071689116302878
secr_joint,D.x.s,0.7659630004673711,0.07555387065059033,108.10999999999967,1,0.8071689116302878,-5.104992346606939,1.3118554063394898,0.8071689116302878
secr_joint,g0,0.801237842605911,0.5549855729517427,108.10999999999967,1,0.8,0.15473032573887213,1.3118554063394898,0.8071689116302878
