fit_method,method,parameter,estimate,se,sim
secr,secr,sigma,77.54804684339267,7.3790715962102125,62
acre,acre,g0,0.9579482077337557,0.12950817758490812,62
acre,acre,sigma,77.54829965731506,7.355305003542234,62
acre,acre,D,3.1933334262675253,0.5403149149225693,62
secr,secr,D,3.385476149896539,0.6765923282029943,63
secr,secr,g0,0.7305456052129118,0.14166391387426816,63
secr,secr,sigma,72.73177482137677,9.36835666377758,63
acre,acre,g0,0.730540462436457,0.14161178265384605,63
acre,acre,sigma,72.73227004945518,9.320406384043693,63
acre,acre,D,3.3854598336938935,0.6696824863776148,63
secr,secr,D,3.9807658240079173,0.7620146201681708,64
secr,secr,g0,0.7006804470603633,0.1333393066303228,64
secr,secr,sigma,75.6652742583473,9.73247721657928,64
acre,acre,g0,0.7006754305768415,0.13329940308494434,64
acre,acre,sigma,75.66581360393268,9.683243002081902,64
acre,acre,D,3.9807459406618064,0.7547638529742968,64
secr,secr,D,4.864495811880607,0.8838670260435284,65
secr,secr,g0,0.903058742883729,0.3030120500837021,65
secr,secr,sigma,54.16887483052119,8.306920513149775,65
acre,acre,g0,0.9030406135957374,0.30219329118656396,65
acre,acre,sigma,54.16945589135647,8.235587223431324,65
acre,acre,D,4.864498057796087,0.8766733720466733,65
secr,secr,D,4.957582306114152,0.7374651207489419,66
secr,secr,g0,0.9867942418762979,0.1672912636987482,66
secr,secr,sigma,61.70885082380749,5.951864991761272,66
acre,acre,g0,0.9867878909762874,0.16703948998953472,66
acre,acre,sigma,61.70918331158328,5.929373419776514,66
acre,acre,D,4.957571229965502,0.7333399767788709,66
secr,secr,D,3.433991525759465,0.6963568607095068,67
secr,secr,g0,0.6842235554083389,0.12756206852661478,67
secr,secr,sigma,80.51166414749349,10.896474762116007,67
acre,acre,g0,0.6842212499248557,0.127520625535879,67
acre,acre,sigma,80.51194217275798,10.835922627012573,67
acre,acre,D,3.433982155629285,0.68890870876678,67
secr,secr,D,1.9705453583370465,0.43821967508533377,68
secr,secr,g0,0.9999997591641006,3.103271899892303e-15,68
secr,secr,sigma,86.74757585251963,9.802326333413522,68
acre,acre,g0,0.9999999907380861,1.2925657302141277e-4,68
acre,acre,sigma,86.7480196813361,9.766487448210585,68
acre,acre,D,1.9705408493128382,0.43275796002117095,68
secr,secr,D,3.3260504377192612,0.6193837114315583,69
secr,secr,g0,0.8611845970001193,0.16262699248497445,69
secr,secr,sigma,70.88203176424771,8.373439987448572,69
acre,acre,g0,0.8611791121096108,0.1625204397021289,69
acre,acre,sigma,70.88243809553505,8.335883797729963,69
acre,acre,D,3.3260388018004208,0.6139120224900476,69
secr,secr,D,3.9014969644522295,0.7323205601652332,70
secr,secr,g0,0.801568687698879,0.18291479220699514,70
secr,secr,sigma,65.87346459755294,9.249340016131464,70
acre,acre,g0,0.8015600979773776,0.18273689653024047,70
acre,acre,sigma,65.87400549657312,9.18961151537136,70
acre,acre,D,3.901482381805577,0.7256771569710155,70
secr,secr,D,2.2258239011590155,0.7353978335745717,71
secr,secr,g0,0.5018292696973369,0.09664537108577465,71
secr,secr,sigma,117.9514489111812,24.340648960936054,71
acre,acre,g0,0.5015902338697817,0.09682208686626084,71
acre,acre,sigma,118.0193060795021,24.15855408965133,71
acre,acre,D,2.2253150723180286,0.7147355156012531,71
secr,secr,D,3.6025154398543644,0.6341700749577489,72
secr,secr,g0,0.8392772894317849,0.14311619575312345,72
secr,secr,sigma,73.57482281138634,8.23300736264868,72
acre,acre,g0,0.8392775415611646,0.14303256257242042,72
acre,acre,sigma,73.57479948691638,8.19806776438913,72
acre,acre,D,3.6025165724169668,0.6290824704319424,72
secr,secr,D,3.3473011437491054,0.6220230303228047,73
secr,secr,g0,0.7376365104823941,0.10432350300265503,73
secr,secr,sigma,90.691248551025,10.191878584722348,73
acre,acre,g0,0.737652411934407,0.1042853453222508,73
acre,acre,sigma,90.68810451604544,10.14581795789825,73
acre,acre,D,3.347465418939583,0.6162136043927793,73
secr,secr,D,3.396186081058752,0.6871060686036724,74
secr,secr,g0,0.7565596287788334,0.1465173540743334,74
secr,secr,sigma,77.94646490850614,10.552537314299839,74
acre,acre,g0,0.756560000065682,0.1464754981954866,74
acre,acre,sigma,77.94641241103571,10.495017891555444,74
acre,acre,D,3.3961896151632143,0.6798305003164848,74
secr,secr,D,2.915624693524281,0.5454943371859586,75
secr,secr,g0,0.9046760349573837,0.13380031561227845,75
secr,secr,sigma,82.4545689973078,9.07483116416793,75
acre,acre,g0,0.904675585756208,0.13373253705670857,75
acre,acre,sigma,82.45455630844859,9.039556722332303,75
acre,acre,D,2.9156314387130755,0.5405473282871305,75
secr,secr,D,2.7603499900642854,0.6554067165593164,76
secr,secr,g0,0.6704248485912726,0.166973017438521,76
secr,secr,sigma,76.35653345128304,12.275322761628727,76
acre,acre,g0,0.6704186565187129,0.1669141903401093,76
acre,acre,sigma,76.35707783655364,12.185449415632876,76
acre,acre,D,2.760338628902997,0.6460937238984218,76
secr,secr,D,3.471569513614799,0.6501381228699081,77
secr,secr,g0,0.8260410901136674,0.16305448821280427,77
secr,secr,sigma,71.97143965653038,9.299998316982672,77
acre,acre,g0,0.8260344479028288,0.16292779741387917,77
acre,acre,sigma,71.97194810944485,9.249260501447072,77
acre,acre,D,3.4715542615064314,0.6442292951035804,77
secr,secr,D,2.4905019590479514,0.5149342534611804,78
secr,secr,g0,0.8570234039662081,0.11763011308276358,78
secr,secr,sigma,91.51327222370836,10.75728334991291,78
acre,acre,g0,0.8570141293841617,0.1176038589576213,78
acre,acre,sigma,91.5151852795483,10.71575837539405,78
acre,acre,D,2.4904673327268574,0.509286189584016,78
secr,secr,D,3.446161469597101,0.7321805591026246,79
secr,secr,g0,0.6559435793480661,0.1300124971763818,79
secr,secr,sigma,81.68526174456304,11.19365566931567,79
acre,acre,g0,0.6559405119454895,0.12998739490168507,79
acre,acre,sigma,81.68564742270209,11.133092896027732,79
acre,acre,D,3.4461522371001965,0.7236955251181618,79
secr,secr,D,3.119488185797774,0.7361406112519424,80
secr,secr,g0,0.6091678259521284,0.16169345763313564,80
secr,secr,sigma,73.14037617267215,11.937432397415362,80
acre,acre,g0,0.6091618802974944,0.1616218629833421,80
acre,acre,sigma,73.14098182087119,11.84679064121503,80
acre,acre,D,3.1194719996166627,0.7258497546707099,80
secr,secr,D,3.1167439430969415,0.5986855456842278,81
secr,secr,g0,0.7857251175410581,0.10158441705127487,81
secr,secr,sigma,93.15428068175247,10.642907238758939,81
acre,acre,g0,0.7857206560539001,0.10156664343662691,81
acre,acre,sigma,93.15455283390475,10.599035612502881,81
acre,acre,D,3.1167898948696147,0.5927847295714347,81
secr,secr,D,3.484071268810269,0.7399907291477301,82
secr,secr,g0,0.7121830411577281,0.17946429572141667,82
secr,secr,sigma,69.83971922219247,10.667124520801728,82
acre,acre,g0,0.7121760683879979,0.17937446578776045,82
acre,acre,sigma,69.84027910244792,10.594103569691951,82
acre,acre,D,3.4840554612754704,0.7315146735446545,82
secr,secr,D,2.751614843382347,0.5259048792687805,83
