fit_method,method,parameter,estimate,se,sim
acre,acre,g0,0.9284833862838493,0.11989215459354531,48
acre,acre,sigma,76.70043882232856,8.386824758552839,48
acre,acre,D,3.23194125106046,0.5755080700208036,48
secr,secr,D,2.76406283758336,0.5980058156847712,49
secr,secr,g0,0.7157967797471803,0.11639039029080726,49
secr,secr,sigma,90.66768967721684,12.026985655272872,49
acre,acre,g0,0.7157928506771479,0.11637261478287005,49
acre,acre,sigma,90.66813785282088,11.96469149122412,49
acre,acre,D,2.764076886958769,0.5907350018898464,49
secr,secr,D,3.3866684307804524,0.707651554181842,50
secr,secr,g0,0.675561021137676,0.12959403513898643,50
secr,secr,sigma,84.84570898419855,11.906289639931163,50
acre,acre,g0,0.6755658929999189,0.12955982712930622,50
acre,acre,sigma,84.84498568161169,11.835977427895852,50
acre,acre,D,3.38670530389554,0.6995735806732064,50
secr,secr,D,2.268119459815992,0.7073390746757672,51
secr,secr,g0,0.5074225888124835,0.12459127997798604,51
secr,secr,sigma,100.27818166615818,20.26516252203923,51
acre,acre,g0,0.507392844429336,0.1246091985384138,51
acre,acre,sigma,100.28370911480032,20.057588978765438,51
acre,acre,D,2.2681057231958026,0.6902504298173976,51
secr,secr,D,3.899584916028749,0.6686472013026592,52
secr,secr,g0,0.9999999994636217,9.019231530133186e-19,52
secr,secr,sigma,56.55723719508265,4.047983573284956,52
acre,acre,g0,0.9999999790504871,3.374142220608353e-4,52
acre,acre,sigma,56.55731568797063,4.040740095554997,52
acre,acre,D,3.899573990326365,0.6637203830380793,52
secr,secr,D,2.3544654553339446,0.5532312935602852,53
secr,secr,g0,0.69261346696958,0.11233753776832171,53
secr,secr,sigma,98.14482727626184,14.55192614866622,53
acre,acre,g0,0.692605624729759,0.11231265195117418,53
acre,acre,sigma,98.1450142648141,14.456577161299052,53
acre,acre,D,2.354563419798597,0.545145873832884,53
secr,secr,D,3.2581044217166824,0.6484494947097055,54
secr,secr,g0,0.8007715537681642,0.14461283071515324,54
secr,secr,sigma,74.17117039595503,10.023665131072795,54
acre,acre,g0,0.8007712052587761,0.14453774601060942,54
acre,acre,sigma,74.17120913421893,9.965681875899042,54
acre,acre,D,3.258103290871278,0.64174380425,54
secr,secr,D,3.073627074630796,0.6625623879989241,55
secr,secr,g0,0.6788492884730984,0.1327060361447341,55
secr,secr,sigma,83.74412190584977,11.77256743570381,55
acre,acre,g0,0.6788500429192756,0.13267346764955742,55
acre,acre,sigma,83.74396708586242,11.704842373312477,55
acre,acre,D,3.073638563455091,0.65464065352616585,55
secr,secr,D,2.8834570229951284,0.5831425926867437,56
secr,secr,g0,0.7718182126523861,0.1315161140210114,56
secr,secr,sigma,86.83198221070504,10.299685526184769,56
acre,acre,g0,0.7718250254679471,0.13149129537411963,56
acre,acre,sigma,86.83055785804005,10.254097330701565,56
acre,acre,D,2.8835245743473243,0.5769564886171242,56
secr,secr,D,3.193544042934563,0.5944019945792536,57
secr,secr,g0,0.8411092146990097,0.1594443263395149,57
secr,secr,sigma,72.65983321147131,9.107963040827206,57
acre,acre,g0,0.8411021937594263,0.15928151111273817,57
acre,acre,sigma,72.6603605231177,9.058254594845515,57
acre,acre,D,3.1935293978262376,0.5890605260287447,57
secr,secr,D,3.0066768368795023,0.7686303982773929,58
secr,secr,g0,0.5822560694370555,0.13788866483869403,58
secr,secr,sigma,84.14714256377422,14.401514679544848,58
acre,acre,g0,0.5822524791823773,0.1378746080733738,58
acre,acre,sigma,84.14765704507447,14.287293051414357,58
acre,acre,D,3.006668487913234,0.7559574065530906,58
secr,secr,D,2.936809705146224,0.5465792792637902,59
secr,secr,g0,0.9007512446525318,0.12315575552807588,59
secr,secr,sigma,81.0293337773818,8.869856316166665,59
acre,acre,g0,0.9007457811740067,0.12309624960092035,59
acre,acre,sigma,81.02988608223491,8.835417527631064,59
acre,acre,D,2.9367944740716885,0.541661395605357,59
secr,secr,D,2.146328969316272,0.47657844367679036,60
secr,secr,g0,0.8563603200600379,0.147249392147749,60
secr,secr,sigma,78.24513273667873,9.825216940095613,60
acre,acre,g0,0.8563560234713711,0.14719341614828113,60
acre,acre,sigma,78.24565802900297,9.778746662354417,60
acre,acre,D,2.1463167594395816,0.4706627925826821,60
secr,secr,D,2.9933873078933644,0.6517084532106329,61
secr,secr,g0,0.6703559650400236,0.11618075169647184,61
secr,secr,sigma,89.13833400284486,12.226686593051717,61
acre,acre,g0,0.6703486534773597,0.11616842633605025,61
acre,acre,sigma,89.13943938323038,12.161371649444279,61
acre,acre,D,2.9933707563326446,0.6437358526531024,61
secr,secr,D,3.1933406115658487,0.5443998846623529,62
secr,secr,g0,0.9579507958821831,0.12961047596152728,62
