method,parameter,estimate,se,time,sim,true,pct_diff
secr_glm,g0,0.777042101492149,0.5799831714964475,38.349999999998545,20,0.8,-2.869737313481377
secr_glm,sigma.(Intercept),3.9900436908881405,0.06073793930855701,38.349999999998545,20,4.05,-1.480402694119984
secr_glm,sigma.x.s,-0.23784443479321743,0.0452187600352936,38.349999999998545,20,-0.23,3.4106238231380086
secr_glm,D.(Intercept),1.325997606151854,0.056311868749920536,38.349999999998545,20,1.0986122886681098,20.697503553270113
secr_glm,D.x.s,0.5693272597652377,0.0594807342134626,38.349999999998545,20,0.5,13.865451953047536
secr_varprop,g0,0.777042101492149,0.5799831714964475,39.79000000000087,20,0.8,-2.869737313481377
secr_varprop,sigma.(Intercept),3.9900436908881405,0.06073793930855701,39.79000000000087,20,4.05,-1.480402694119984
secr_varprop,sigma.x.s,-0.23784443479321743,0.0452187600352936,39.79000000000087,20,-0.23,3.4106238231380086
secr_varprop,D.(Intercept),1.3244012224542356,0.08168738820846444,39.79000000000087,20,1.0986122886681098,20.55219444703814
secr_varprop,D.x.s,0.5696566438694802,0.09166830010398809,39.79000000000087,20,0.5,13.931328773896045
secr_joint,D.(Intercept),1.0291992519779687,0.0876296149073356,113.22999999999956,21,1.0986122886681098,-6.318246883465431
secr_joint,D.x.s,0.4651832132173878,0.09651719969304938,113.22999999999956,21,0.5,-6.963357356522437
secr_joint,g0,0.683676855527296,0.3844512578087758,113.22999999999956,21,0.8,-14.54039305908801
secr_joint,sigma.(Intercept),4.163746183856239,0.06490009236595669,113.22999999999956,21,4.05,2.8085477495367774
secr_joint,sigma.x.s,-0.21603164554656556,0.0482396654167813,113.22999999999956,21,-0.23,-6.073197588449759
secr_glm,g0,0.6836242256979617,0.384491042936378,42.43999999999869,21,0.8,-14.546971787754797
secr_glm,sigma.(Intercept),4.1638505153053105,0.06494410792554213,42.43999999999869,21,4.05,2.8111238346990284
secr_glm,sigma.x.s,-0.2160346217795731,0.04825680257602083,42.43999999999869,21,-0.23,-6.071903574098652
secr_glm,D.(Intercept),1.0291002531550992,0.059874279232178564,42.43999999999869,21,1.0986122886681098,-6.3272581446619975
secr_glm,D.x.s,0.4651934731254354,0.0633508952271449,42.43999999999869,21,0.5,-6.961305374912918
secr_varprop,g0,0.6836242256979617,0.384491042936378,43.90999999999622,21,0.8,-14.546971787754797
secr_varprop,sigma.(Intercept),4.1638505153053105,0.06494410792554213,43.90999999999622,21,4.05,2.8111238346990284
secr_varprop,sigma.x.s,-0.2160346217795731,0.04825680257602083,43.90999999999622,21,-0.23,-6.071903574098652
secr_varprop,D.(Intercept),1.0272486245005699,0.0876597875073062,43.90999999999622,21,1.0986122886681098,-6.495800648111888
secr_varprop,D.x.s,0.46547445959687167,0.09655209567400609,43.90999999999622,21,0.5,-6.905108080625666
secr_joint,D.(Intercept),1.1237140370972956,0.08127457217347125,94.66999999999825,22,1.0986122886681098,2.2848596077163488
secr_joint,D.x.s,0.5217129920945769,0.09177244742088111,94.66999999999825,22,0.5,4.342598418915378
secr_joint,g0,0.7944827449508182,0.544181812616952,94.66999999999825,22,0.8,-0.6896568811477349
secr_joint,sigma.(Intercept),4.055480732116221,0.05938925883409463,94.66999999999825,22,4.05,0.13532671891904577
secr_joint,sigma.x.s,-0.2624533283937877,0.04370975373837338,94.66999999999825,22,-0.23,14.110142779907694
secr_glm,g0,0.7953145705282084,0.5461218530111056,39.900000000001455,22,0.8,-0.5856786839739531
secr_glm,sigma.(Intercept),4.0542414693324265,0.05928385614631041,39.900000000001455,22,4.05,0.1047276378376948
secr_glm,sigma.x.s,-0.26293282574790394,0.043652828052274745,39.900000000001455,22,-0.23,14.318619890393014
secr_glm,D.(Intercept),1.1247651255642057,0.058674165398039393,39.900000000001455,22,1.0986122886681098,2.380533803040018
secr_glm,D.x.s,0.5223353665141718,0.062144320962916604,39.900000000001455,22,0.5,4.467073302834357
secr_varprop,g0,0.7953145705282084,0.5461218530111056,41.31999999999971,22,0.8,-0.5856786839739531
secr_varprop,sigma.(Intercept),4.0542414693324265,0.05928385614631041,41.31999999999971,22,4.05,0.1047276378376948
secr_varprop,sigma.x.s,-0.26293282574790394,0.043652828052274745,41.31999999999971,22,-0.23,14.318619890393014
secr_varprop,D.(Intercept),1.121990279930351,0.0812240665180421,41.31999999999971,22,1.0986122886681098,2.127956468663135
secr_varprop,D.x.s,0.5217649620894578,0.0917199475037452,41.31999999999971,22,0.5,4.352992417891555
secr_joint,D.(Intercept),1.1093347330114396,0.07501433250191915,91.09000000000015,23,1.0986122886681098,0.975998944662183
secr_joint,D.x.s,0.38391012880785613,0.08131270984750041,91.09000000000015,23,0.5,-23.217974238428774
secr_joint,g0,0.8471461654365786,0.748763295460606,91.09000000000015,23,0.8,5.893270679572321
