sim,parameter,estimate
106,sigma,47.99991215109974
107,g0,0.6449579063219115
107,D,2.6068521671487264
107,sigma,71.94039733332589
108,g0,0.9999999990549895
108,D,2.595383221704307
108,sigma,56.14305499664915
109,g0,0.49885653990688694
109,D,1.9761588878798473
109,sigma,78.32936148542694
110,g0,0.9999999995707142
110,D,3.0060182108810825
110,sigma,56.2643064983838
111,g0,0.6699157527406295
111,D,3.3557439600672176
111,sigma,62.98377855834669
112,g0,0.3168101324027371
112,D,1.8114285486502857
112,sigma,103.03113570164243
113,g0,0.7376460236542276
113,D,2.216156817937516
113,sigma,71.13270859699075
114,g0,0.6908472525117455
114,D,3.25069127181078
114,sigma,62.2217291075382
115,g0,0.8533217509990054
115,D,3.758912498260834
115,sigma,53.47039300294915
116,g0,0.7396220160415138
116,D,2.1714896073184424
116,sigma,63.192777220810726
117,g0,0.9999999972177822
117,D,2.4420316586003348
117,sigma,51.15934597369507
118,g0,0.7379102964459264
118,D,4.983342336059149
118,sigma,52.30205137829077
119,g0,0.7767363758466813
119,D,2.3830490828204725
119,sigma,57.66473886567091
120,g0,0.32895812070705815
120,D,3.9636559169244334
120,sigma,74.88725845304785
121,g0,0.7498088414320827
121,D,2.9728606676682934
121,sigma,63.81597858866081
122,g0,0.6993535716915751
122,D,3.09728930685418
122,sigma,61.39727035192853
123,g0,0.9999999819420955
123,D,2.8680014408171144
123,sigma,54.46364961036416
124,g0,0.8896420625958734
124,D,2.944170103833673
124,sigma,57.941974920124245
125,g0,0.8884422601760297
125,D,3.84381286378521
125,sigma,51.467514231038564
126,g0,0.9343494207018442
126,D,3.7379181052627692
126,sigma,48.05458409781132
127,g0,0.8566340904414794
127,D,2.9528585558339078
127,sigma,75.27337977456058
128,g0,0.8733634786564348
128,D,2.038702931055796
128,sigma,68.61710702300151
129,g0,0.9225399695666692
129,D,2.0964941848292318
129,sigma,62.00099035774732
130,g0,0.47842760310702687
130,D,4.648547505594973
130,sigma,62.90731626340821
131,g0,0.5150663942492439
131,D,3.276287665683227
131,sigma,68.33971665285206
132,g0,0.5624601765056515
132,D,2.1055529852994512
132,sigma,69.21483475978542
133,g0,0.9999999994227049
133,D,3.203709003609901
133,sigma,54.62815867437312
134,g0,0.9999999994407979
134,D,1.700478107476989
134,sigma,62.12634571805858
135,g0,0.7534816425035177
135,D,2.8199778491722047
135,sigma,60.567195424172915
136,g0,0.642129955099459
136,D,2.60417048777021
136,sigma,70.61034036851825
137,g0,0.924272123094602
137,D,4.100904058765671
137,sigma,45.129137085924775
138,g0,0.748712966321743
138,D,3.160570938588279
138,sigma,62.34214212048589
139,g0,0.764996936853266
139,D,2.453794780655034
139,sigma,64.99200504282544
140,g0,0.7284763979435983
140,D,2.63721389615321
140,sigma,60.041374648782416
141,g0,0.9999999966581133
141,D,2.6239884177372264
141,sigma,39.76713965905525
142,g0,0.6959789847783044
142,D,3.128325041249642
142,sigma,63.71281511583782
143,g0,0.5425670217718426
143,D,2.765447243084856
143,sigma,71.58755052558949
144,g0,0.9999999988971137
144,D,2.5993176818715096
144,sigma,54.598890133063314
145,g0,0.9999999781579152
145,D,2.295150941983853
145,sigma,52.10406497224447
146,g0,0.5312276902297541
146,D,2.6044401439135076
146,sigma,82.95479187351889
147,g0,0.6889745343785445
147,D,2.837671989223675
147,sigma,64.37685895764425
148,g0,0.9999999969268328
148,D,2.739449994074572
148,sigma,52.32936621744264
149,g0,0.3545609332120531
149,D,2.7412847336049477
149,sigma,78.23111321202337
150,g0,0.9990651272649788
150,D,3.1105490277025307
150,sigma,49.80480921259695
151,g0,0.9999994942414684
151,D,2.870318363474308
151,sigma,57.096506109168615
152,g0,0.756703035983604
152,D,3.363237741814623
152,sigma,59.28057686618582
153,g0,0.8402568216910965
153,D,2.213331206596632
153,sigma,53.22648614988682
154,g0,0.9999999966406857
154,D,4.666348863790803
154,sigma,33.969131027030635
155,g0,0.7378982572262257
155,D,2.391828982560648
155,sigma,60.68828044763349
156,g0,0.4442044126301841
156,D,4.22008993146108
156,sigma,68.19331234382749
157,g0,0.5101306569612577
157,D,3.0479011888240533
157,sigma,85.50278374769555
158,g0,0.8570327010644108
158,D,4.228962446871302
158,sigma,47.93769834396301
159,g0,0.5940669484713037
159,D,2.9803458918853636
159,sigma,66.70211290731558
160,g0,0.8963145272918268
