fit_method,method,parameter,estimate,se,sim,true,pct_diff
acre,acre,sigma,81.4862365527955,2.7190704364607665,18,80,1.8577956909943794
acre,acre,D,4.684740358039105,0.24843917189361783,18,5,-6.305192839217906
secr,secr,D,4.9594798715162085,0.2721966596554621,19,5,-0.8104025696758299
secr,secr,g0,0.7218211768317658,0.035791825606181826,19,0.8,-9.772352896029277
secr,secr,sigma,81.75830623075889,2.8868506985277658,19,80,2.197882788448613
acre,acre,g0,0.7218216822067917,0.035783241619931745,19,0.8,-9.772289724151047
acre,acre,sigma,81.75821065380849,2.8835077644385056,19,80,2.1977633172606126
acre,acre,D,4.959491248522247,0.27183899377663906,19,5,-0.810175029555058
secr,secr,D,4.921322070714565,0.2609096190621059,20,5,-1.5735585857087029
secr,secr,g0,0.767805356590483,0.03634933184004412,20,0.8,-4.024330426189632
secr,secr,sigma,80.01958768375977,2.7269411558972294,20,80,0.024484604699708257
acre,acre,g0,0.7678014268887685,0.036338833656846446,20,0.8,-4.0248216389039415
acre,acre,sigma,80.02002862465699,2.723632525806028,20,80,0.02503578082123425
acre,acre,D,4.921304208762038,0.26058216157811376,20,5,-1.5739158247592402
secr,secr,D,5.106921620072992,0.25729251972965356,21,5,2.1384324014598377
secr,secr,g0,0.8039395376060592,0.03459378430054441,21,0.8,0.49244220075739253
secr,secr,sigma,79.78798645453766,2.5354140941931913,21,80,-0.26501693182792607
acre,acre,g0,0.803934157625478,0.03458084594106075,21,0.8,0.49176970318474955
acre,acre,sigma,79.78854089395489,2.53235411057001,21,80,-0.26432388255638983
acre,acre,D,5.106896300485314,0.2569929779789072,21,5,2.137926009706277
secr,secr,D,4.457941244643548,0.23662175455466045,22,5,-10.84117510712904
secr,secr,g0,0.8018161711240764,0.03435208885359479,22,0.8,0.22702139050954917
secr,secr,sigma,82.78465456439862,2.6837286785706564,22,80,3.4808182054982777
acre,acre,g0,0.801812833336487,0.03434354185935829,22,0.8,0.2266041670608704
acre,acre,sigma,82.78506368072075,2.6807580787893466,22,80,3.481329600900942
acre,acre,D,4.457929058345161,0.2363297415097352,22,5,-10.841418833096785
secr,secr,D,5.050146452865539,0.25210367230196606,23,5,1.002929057310773
secr,secr,g0,0.8491003863910882,0.035237716919680084,23,0.8,6.13754829888602
secr,secr,sigma,78.6998543448644,2.4013911905769825,23,80,-1.6251820689194931
acre,acre,g0,0.8490967996146453,0.03522590314081951,23,0.8,6.137099951830663
acre,acre,sigma,78.700252251146,2.398832485575734,23,80,-1.6246846860675033
acre,acre,D,5.0501285801615055,0.25182816258266416,23,5,1.002571603230109
secr,secr,D,5.396434474780425,0.26687709770661555,24,5,7.928689495608499
secr,secr,g0,0.785388096780469,0.033696377705256526,24,0.8,-1.8264879024413871
secr,secr,sigma,80.19105306477441,2.515873983205491,24,80,0.23881633096801022
acre,acre,g0,0.7853836020752638,0.0336867494566728,24,0.8,-1.8270497405920294
acre,acre,sigma,80.19155494436025,2.512931196886915,24,80,0.23944368045031084
acre,acre,D,5.396411684325565,0.266571851176664,24,5,7.928233686511295
secr,secr,D,4.786621981832949,0.24447124700599723,25,5,-4.267560363341012
secr,secr,g0,0.8123373537205092,0.03465480908014727,25,0.8,1.5421692150636435
secr,secr,sigma,80.74674171543165,2.5424868778789453,25,80,0.933427144289567
acre,acre,g0,0.8123329638836476,0.03464432656758547,25,0.8,1.5416204854559468
acre,acre,sigma,80.74722982523205,2.539567732140993,25,80,0.9340372815400677
acre,acre,D,4.786603069475576,0.2441871580318824,25,5,-4.267938610488482
secr,secr,D,5.271639184748882,0.2593003786770335,26,5,5.432783694977648
secr,secr,g0,0.8222000997358522,0.03580605442538553,26,0.8,2.7750124669815164
secr,secr,sigma,77.07618962543762,2.352912025265656,26,80,-3.6547629682029736
acre,acre,g0,0.822200152672806,0.03579190740458273,26,0.8,2.7750190841007436
acre,acre,sigma,77.07617382172991,2.3501700277435233,26,80,-3.654782722837613
acre,acre,D,5.271641445621144,0.25902839280383144,26,5,5.432828912422885
secr,secr,D,4.594521024685571,0.23993329298670119,27,5,-8.109579506288576
secr,secr,g0,0.8253987530430641,0.034130420106243765,27,0.8,3.174844130383006
secr,secr,sigma,82.25898872705811,2.614204743659395,27,80,2.8237359088226377
acre,acre,g0,0.8253982104049095,0.03412149319521781,27,0.8,3.174776300613677
acre,acre,sigma,82.25903586312936,2.611395389113449,27,80,2.8237948289116943
acre,acre,D,4.594524357710078,0.23964470670464383,27,5,-8.109512845798434
secr,secr,D,5.231435772722062,0.2637972852321973,28,5,4.6287154544412346
secr,secr,g0,0.7816653362422645,0.03324589701747071,28,0.8,-2.291832969716939
secr,secr,sigma,83.64622866501585,2.5796056842593735,28,80,4.557785831269818
acre,acre,g0,0.7816626811002618,0.03323767564034596,28,0.8,-2.2921648624672777
acre,acre,sigma,83.64617223802692,2.5769104719529854,28,80,4.557715297533651
acre,acre,D,5.231457318337979,0.26349036311683155,28,5,4.629146366759578
