method,parameter,estimate,se,sim,TRUE,pct_diff
secr_glm,D.y.s,0.484838424,0.06322923,2,0.5,-3.032315127
secr_joint,D.(Intercept),1.177478848,0.088646965,3,1.098612289,7.178743582
secr_joint,D.x.s,0.595174593,0.100741211,3,0.5,19.03491856
secr_joint,D.y.s,0.392464558,0.094380967,3,0.5,-21.50708845
secr_joint,g0,0.849142172,0.400966574,3,0.8,6.142771491
secr_joint,sigma.(Intercept),4.06162191,0.061429726,3,4.05,0.286960752
secr_joint,sigma.x.s,-0.27338712,0.049503002,3,-0.23,18.86396537
secr_joint,sigma.y.s,-0.182577302,0.04549198,3,-0.23,-20.61856453
secr_glm,D.x.s,0,132.6355384,3,0.5,-100
secr_glm,D.y.s,0,132.6355384,3,0.5,-100
secr_glm,g0,0.845978005,0.400526353,3,0.8,5.747250622
secr_glm,sigma.(Intercept),4.0614006,0.061431751,3,4.05,0.281496304
secr_glm,sigma.x.s,-0.270441516,0.049219723,3,-0.23,17.58326765
secr_glm,sigma.y.s,-0.180353339,0.045304259,3,-0.23,-21.58550488
secr_glm,D.(Intercept),1.178285853,0.059875394,3,1.098612289,7.252200392
secr_glm,D.x.s,0.590669425,0.062960074,3,0.5,18.13388493
secr_glm,D.y.s,0.388989014,0.062433285,3,0.5,-22.2021972
secr_joint,D.(Intercept),1.141321205,0.096174723,4,1.098612289,3.887533081
secr_joint,D.x.s,0.48380436,0.098301306,4,0.5,-3.239127912
secr_joint,D.y.s,0.497508567,0.101065863,4,0.5,-0.49828669
secr_joint,g0,0.419487428,0.33379189,4,0.8,-47.5640715
secr_joint,sigma.(Intercept),4.135187838,0.067619131,4,4.05,2.103403419
secr_joint,sigma.x.s,-0.23528315,0.046792947,4,-0.23,2.297021615
secr_joint,sigma.y.s,-0.228851542,0.049235848,4,-0.23,-0.499329574
secr_glm,D.x.s,0,0,4,0.5,-100
secr_glm,D.y.s,0,296.5820801,4,0.5,-100
secr_glm,g0,0.426064356,0.334944004,4,0.8,-46.7419555
secr_glm,sigma.(Intercept),4.133395676,0.067553112,4,4.05,2.059152495
secr_glm,sigma.x.s,-0.238305991,0.04706747,4,-0.23,3.611300487
secr_glm,sigma.y.s,-0.228259888,0.049055997,4,-0.23,-0.756570265
secr_glm,D.(Intercept),1.142251741,0.06066146,4,1.098612289,3.972234155
secr_glm,D.x.s,0.488297192,0.063671488,4,0.5,-2.340561605
